UNITID,INSTNM,control_label,predominant_degree_label,region_label,locale_label,dominant_program,default_rate_pct,net_price,completion_rate,PCTPELL,risk_score,risk_flag
183123,Lakes Region Community College,Public,Associate's,New England,Town,Trades & Applied,0.0,19607.0,0.4286,0.2822,0.7812591041116624,1
488129,Textures Institute of Cosmetology,Private for-profit,Certificates,Great Lakes,City,Trades & Applied,0.0,,1.0,0.6129,0.7802373163837276,1
189404,Brittany Beauty Academy,Private for-profit,Certificates,Mid East,City,Trades & Applied,0.0,,0.75,0.4713,0.7788254432720344,1
461120,Omega Graduate School,Private nonprofit,Graduate,Southeast,Rural,STEM,0.0,,,,0.778712325402187,1
161192,Kennebec Valley Community College,Public,Associate's,New England,Town,Health,0.0,6994.0,0.4778,0.3096,0.7785745235258441,1
418171,Charles Stuart School of Diamond Setting,Private for-profit,Certificates,Mid East,City,Trades & Applied,0.0,,1.0,0.0313,0.7777870070058862,1
199926,Wilkes Community College,Public,Certificates,Southeast,Town,Trades & Applied,0.0,-28.0,0.5238,0.2913,0.776209709412644,1
417123,Ventura Adult and Continuing Education,Public,Certificates,Far West,City,Health,0.0,9949.0,0.9667,0.3505,0.7734733987179789,1
156790,Hazard Community and Technical College,Public,Certificates,Southeast,Town,Trades & Applied,0.0,3376.0,0.4729,0.3728,0.7731245385707151,1
189255,Berkowits School of Electrolysis,Private for-profit,Certificates,Mid East,City,Trades & Applied,0.0,,0.8829,0.1377,0.7731013232509282,1
460808,Integrated Massage Therapy Services,Private for-profit,Certificates,Rocky Mountains,Town,Health,2.7,,1.0,0.7692,0.7729384794020051,1
376224,CEM College-Humacao,Private for-profit,Associate's,Outlying Areas,Suburb,Health,0.0,18485.0,,0.8865,0.7722280553383452,1
236018,BJ's Beauty & Barber College,Private for-profit,Certificates,Far West,City,Trades & Applied,0.0,,0.9091,0.1742,0.7720256609958458,1
231147,Vermont Law and Graduate School,Private nonprofit,Graduate,New England,Rural,STEM,0.0,,,,0.7685421124704321,1
487889,Regional Center for Border Health,Private nonprofit,Certificates,Southwest,Town,Health,1.9,,0.92,0.0,0.7664211139260864,1
127954,Montessori Education Center of the Rockies,Private nonprofit,Certificates,Rocky Mountains,City,Education,2.3,13285.0,,0.1667,0.7662128253771351,1
175698,Fosters Cosmetology College,Private for-profit,Certificates,Southeast,Rural,Trades & Applied,2.0,,0.7826,0.9322,0.764358548299429,1
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,Private nonprofit,Graduate,Mid East,City,STEM,0.0,,,,0.7630462726423279,1
245625,Warren County Community College,Public,Associate's,Mid East,Rural,Humanities,0.0,3550.0,0.4768,0.1099,0.7614489252320412,1
