threshold,precision,recall,f1
0.52,0.08360128617363344,0.9285714285714286,0.15339233038348082
0.53,0.08637873754152824,0.9285714285714286,0.1580547112462006
0.54,0.09090909090909091,0.9285714285714286,0.16560509554140126
0.55,0.09454545454545454,0.9285714285714286,0.1716171617161716
0.56,0.09774436090225563,0.9285714285714286,0.17687074829931973
0.5700000000000001,0.09961685823754789,0.9285714285714286,0.17993079584775087
0.58,0.10276679841897234,0.9285714285714286,0.18505338078291814
0.59,0.1016260162601626,0.8928571428571429,0.18248175182481752
0.6,0.10245901639344263,0.8928571428571429,0.18382352941176472
0.61,0.1016949152542373,0.8571428571428571,0.18181818181818182
0.62,0.1,0.8214285714285714,0.17829457364341086
0.63,0.1036036036036036,0.8214285714285714,0.184
0.64,0.102803738317757,0.7857142857142857,0.18181818181818182
0.65,0.10679611650485436,0.7857142857142857,0.18803418803418803
0.66,0.10152284263959391,0.7142857142857143,0.17777777777777778
0.67,0.10752688172043011,0.7142857142857143,0.18691588785046728
0.68,0.11363636363636363,0.7142857142857143,0.19607843137254902
0.6900000000000001,0.11176470588235295,0.6785714285714286,0.1919191919191919
0.7000000000000001,0.1144578313253012,0.6785714285714286,0.1958762886597938
0.71,0.10828025477707007,0.6071428571428571,0.1837837837837838
0.72,0.10204081632653061,0.5357142857142857,0.17142857142857143
0.73,0.09929078014184398,0.5,0.16568047337278108
0.74,0.10852713178294573,0.5,0.17834394904458598
0.75,0.10655737704918032,0.4642857142857143,0.17333333333333334
0.76,0.09821428571428571,0.39285714285714285,0.15714285714285714
0.77,0.1134020618556701,0.39285714285714285,0.176
0.78,0.1111111111111111,0.35714285714285715,0.1694915254237288
0.79,0.10465116279069768,0.32142857142857145,0.15789473684210525
0.8,0.12,0.32142857142857145,0.17475728155339806
0.81,0.11594202898550725,0.2857142857142857,0.16494845360824742
0.8200000000000001,0.11475409836065574,0.25,0.15730337078651685
0.8300000000000001,0.10714285714285714,0.21428571428571427,0.14285714285714285
0.84,0.11764705882352941,0.21428571428571427,0.1518987341772152
0.85,0.13333333333333333,0.21428571428571427,0.1643835616438356
0.86,0.08823529411764706,0.10714285714285714,0.0967741935483871
0.87,0.0967741935483871,0.10714285714285714,0.1016949152542373
0.88,0.13636363636363635,0.10714285714285714,0.12
0.89,0.11764705882352941,0.07142857142857142,0.08888888888888889
0.9,0.16666666666666666,0.07142857142857142,0.1
0.91,0.2222222222222222,0.07142857142857142,0.10810810810810811
0.92,0.25,0.03571428571428571,0.0625
0.93,0.5,0.03571428571428571,0.06666666666666667
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
