UNITID,INSTNM,control_label,predominant_degree_label,region_label,locale_label,dominant_program,default_rate_pct,net_price,completion_rate,PCTPELL,risk_score,risk_flag
138497,Withlacoochee Technical College,Public,Certificates,Southeast,Suburb,Trades & Applied,0.0,,0.5044,0.3574,0.7269841466135385,1
439783,New York College of Traditional Chinese Medicine,Private nonprofit,Graduate,Mid East,Suburb,STEM,0.0,,,,0.726838857610536,1
173896,Luther Seminary,Private nonprofit,Graduate,Plains,City,STEM,0.0,,,,0.726395832767765,1
374024,Adler Graduate School,Private nonprofit,Graduate,Plains,City,STEM,0.0,,,,0.7263036218385975,1
475662,UCAS University of Cosmetology Arts & Sciences-La Joya,Private for-profit,Certificates,Southwest,Suburb,Trades & Applied,0.0,,0.5294,1.0,0.725824135242161,1
383996,Eastern New Mexico University Ruidoso Branch Community College,Public,Associate's,Southwest,Town,Humanities,0.0,4230.0,0.1538,0.1245,0.7256924603174603,1
193821,New York Law School,Private nonprofit,Graduate,Mid East,City,STEM,0.0,,,,0.7244269363236447,1
210438,University of Western States,Private nonprofit,Bachelor's,Far West,City,STEM,0.0,,,0.0,0.7239109828464443,1
219994,Tennessee College of Applied Technology-Dickson,Public,Certificates,Southeast,Rural,Trades & Applied,0.0,8332.0,0.7649,0.4009,0.7236394956576294,1
242723,Inter American University of Puerto Rico-School of Law,Private nonprofit,Graduate,Outlying Areas,City,STEM,0.0,,,,0.7236170770552328,1
443298,Trend Barber College,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.4565,0.913,0.7234043210098469,1
106883,East Arkansas Community College,Public,Certificates,Southeast,Town,Humanities,0.0,6769.0,0.4711,0.2689,0.722984688394776,1
188137,Santa Fe Community College,Public,Certificates,Southwest,Rural,Health,0.0,9215.0,0.2471,0.1448,0.7228054388422034,1
440651,Atenas College,Private nonprofit,Associate's,Outlying Areas,Suburb,Health,0.0,6544.0,,0.8119,0.7227896825396825,1
153746,La James International College-Cedar Falls,Private for-profit,Certificates,Plains,City,Trades & Applied,0.0,,1.0,0.6949,0.7222684899976568,1
208433,College of Hair Design Careers,Private for-profit,Certificates,Far West,City,Trades & Applied,0.0,,0.6316,0.4215,0.722248919813304,1
127273,Iliff School of Theology,Private nonprofit,Graduate,Rocky Mountains,City,STEM,0.0,,,,0.72204628027693,1
151865,Anabaptist Mennonite Biblical Seminary,Private nonprofit,Graduate,Great Lakes,City,STEM,0.0,,,,0.7215004993136142,1
150215,Christian Theological Seminary,Private nonprofit,Graduate,Great Lakes,City,STEM,1.7999999999999998,,,,0.721398848750007,1
490285,California Institute of Arts & Technology,Private for-profit,Certificates,Far West,City,STEM,0.0,40465.0,,0.3127,0.7213868476337904,1
237303,Charleston School of Beauty Culture,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.5,0.7222,0.7209644686117277,1
231147,Vermont Law and Graduate School,Private nonprofit,Graduate,New England,Rural,STEM,0.0,,,,0.7205503978838707,1
460145,Illinois Media School-Chicago Campus,Private for-profit,Certificates,Great Lakes,City,Trades & Applied,0.0,,0.6107,0.6154,0.7200490914302339,1
37728101,Nuvani Institute-Del Rio,Private for-profit,Not classified,Southwest,Other/Unknown,STEM,0.0,,,,0.7196961015049216,1
37728103,Nuvani Institute-South Campus,Private for-profit,Not classified,Southwest,Other/Unknown,STEM,0.0,,,,0.7196961015049216,1
221908,Northeast State Community College,Public,Associate's,Southeast,Rural,Humanities,0.0,5959.0,0.3219,0.3758,0.7194608150893034,1
175281,Mitchell Hamline School of Law,Private nonprofit,Graduate,Plains,City,STEM,0.0,,,,0.7179677265705495,1
491242,Johnny Matthew's Hairdressing Training School,Private for-profit,Certificates,Far West,City,Trades & Applied,0.0,,0.6897,0.4906,0.7172868921751727,1
454935,Evans Hairstyling College-Rexburg,Private for-profit,Certificates,Rocky Mountains,Town,Trades & Applied,0.0,,0.8,0.4,0.7169792726078481,1
150288,Concordia Theological Seminary,Private nonprofit,Graduate,Great Lakes,City,STEM,0.0,,,,0.7166671659802808,1
369419,Erwin Technical College,Public,Certificates,Southeast,City,Trades & Applied,0.0,7086.0,0.7944,0.3282,0.7165957862101454,1
382461,Academy of Hair Design-Pearl,Private for-profit,Certificates,Southeast,Suburb,Trades & Applied,0.0,,0.6667,0.7273,0.7157176103937006,1
