control_label,predominant_degree_label,dominant_program,region_label,locale_label,institutions,avg_default,avg_pell,avg_completion,avg_net_price
Private for-profit,Certificates,Trades & Applied,Great Lakes,Suburb,93,0.09247311827956989,0.5080827956989247,0.670667816091954,26415.0
Private for-profit,Certificates,Trades & Applied,Mid East,Suburb,93,0.08279569892473118,0.4800838709677419,0.6948879120879121,24691.666666666668
Private for-profit,Not classified,STEM,Southeast,Other/Unknown,72,0.08194444444444444,,,
Private for-profit,Certificates,Trades & Applied,Southeast,Suburb,93,0.08064516129032258,0.5842376344086021,0.6752966292134831,24374.875
Private for-profit,Certificates,Trades & Applied,Rocky Mountains,Suburb,19,0.0736842105263158,0.4338947368421053,0.7239052631578948,
Private for-profit,Associate's,Health,Far West,City,13,0.06923076923076922,0.5146384615384615,0.61305,33332.5
Private for-profit,Certificates,Health,Southeast,Town,3,0.06666666666666667,0.6406333333333333,0.8147666666666668,
Private for-profit,Certificates,Health,Far West,Suburb,39,0.061538461538461535,0.5667769230769231,0.6768828571428571,33134.0
Private nonprofit,Bachelor's,Humanities,Plains,Town,2,0.05,0.3784,0.5922000000000001,20212.0
Public,Associate's,Humanities,Great Lakes,Rural,15,0.04666666666666666,0.2984266666666667,0.2869111111111111,8801.6
Private for-profit,Not classified,STEM,Great Lakes,Other/Unknown,25,0.044,,,
Private nonprofit,Bachelor's,Humanities,Southeast,Town,5,0.04,0.36336,0.4396,21192.4
Public,Associate's,Humanities,Great Lakes,City,10,0.04,0.2898,0.2552375,5765.9
Private for-profit,Associate's,Health,Great Lakes,Suburb,5,0.04,0.48678,0.4648,29421.0
Public,Bachelor's,STEM,Great Lakes,Suburb,3,0.03333333333333333,0.3829,0.47000000000000003,15069.666666666666
Private nonprofit,Bachelor's,Business,Plains,Town,12,0.03333333333333333,0.3112416666666667,0.45097499999999996,22520.666666666668
Private nonprofit,Bachelor's,Business,Mid East,Suburb,13,0.03076923076923077,0.3064,0.6201538461538461,25426.384615384617
Private for-profit,Certificates,Health,Great Lakes,Suburb,43,0.030232558139534883,0.755346511627907,0.546071052631579,30641.25
