precision,recall,threshold
0.02158828064764842,1.0,4.9598960310618015e-05
0.021604938271604937,1.0,5.031319978729482e-05
0.021621621621621623,1.0,5.219086165710198e-05
0.021638330757341576,1.0,5.2882764306982314e-05
0.02165506573859242,1.0,5.5864317430431996e-05
0.021671826625386997,1.0,5.656092083246264e-05
0.021688613477924088,1.0,5.737623404315591e-05
0.021705426356589147,1.0,5.7790447508078724e-05
0.021722265321955005,1.0,6.032592473817264e-05
0.021739130434782608,1.0,6.0957293583436336e-05
0.021756021756021756,1.0,6.431125894083342e-05
0.02177293934681182,1.0,6.488326739663781e-05
0.02178988326848249,1.0,6.694972195768743e-05
0.021806853582554516,1.0,6.810702622974885e-05
0.021823850350740453,1.0,6.89614338369411e-05
0.0218408736349454,1.0,6.951213890898576e-05
0.02185792349726776,1.0,7.042273288767474e-05
0.021875,1.0,8.078670932292831e-05
0.0218921032056294,1.0,8.0966109800389e-05
0.02190923317683881,1.0,8.291203103682862e-05
0.02192638997650744,1.0,8.376050855061558e-05
0.0219435736677116,1.0,8.557434695881193e-05
0.02196078431372549,1.0,8.750939404271983e-05
0.02197802197802198,1.0,8.822138538914424e-05
0.02199528672427337,1.0,8.828205905556628e-05
0.0220125786163522,1.0,8.984144089941436e-05
0.022029897718332022,1.0,9.003188321821069e-05
